ISO,Country,Country_FR,AU_Regions,Area,Upop1950,Upop1960,Upop1970,Upop1980,Upop1990,Upop2000,Upop2010,Upop2015,Upop2020,Upop2025,Upop2030,Upop2035,Upop2040,Upop2045,Upop2050,Usurf2015,Usurf2020,Usurf2025,Usurf2030,Usurf2035,Usurf2040,Usurf2045,Usurf2050,TPOP1950,TPOP1960,TPOP1970,TPOP1980,TPOP1990,TPOP2000,TPOP2010,TPOP2015,TPOP2020,TPOP2025,TPOP2030,TPOP2035,TPOP2040,TPOP2045,TPOP2050,Urbanlevel1950,Urbanlevel1960,Urbanlevel1970,Urbanlevel1980,Urbanlevel1990,Urbanlevel2000,Urbanlevel2010,Urbanlevel2015,Urbanlevel2020,Urbanlevel2025,Urbanlevel2030,Urbanlevel2035,Urbanlevel2040,Urbanlevel2045,Urbanlevel2050,NumAgglos1950,NumAgglos1960,NumAgglos1970,NumAgglos1980,NumAgglos1990,NumAgglos2000,NumAgglos2010,NumAgglos2015,NumAgglos2020,NumAgglos2025,NumAgglos2030,NumAgglos2035,NumAgglos2040,NumAgglos2045,NumAgglos2050,Mpop1950,Mpop1960,Mpop1970,Mpop1980,Mpop1990,Mpop2000,Mpop2010,Mpop2015,Mpop2020,Mpop2025,Mpop2030,Mpop2035,Mpop2040,Mpop2045,Mpop2050,ADBA1950,ADBA1960,ADBA1970,ADBA1980,ADBA1990,ADBA2000,ADBA2010,ADBA2015,ADBA2020,ADBA2025,ADBA2030,ADBA2035,ADBA2040,ADBA2045,ADBA2050
AGO,Angola,Angola,Southern Africa,"1,246,700","220,300","383,500","778,024","1,539,917","2,592,469","4,170,797","10,248,991","15,823,034","19,571,257","23,265,865","27,521,191","32,143,232","37,185,163","42,479,005","48,008,352","2,134","2,328","2,957","3,785","4,852","6,279","7,798","9,248","4,145,266","4,980,121","5,646,166","7,440,366","9,840,995","13,828,340","20,548,716","24,992,884","31,122,000","36,106,328","41,592,939","47,479,444","53,668,860","60,045,246","66,471,230",5%,8%,14%,21%,26%,30%,50%,63%,63%,64%,66%,68%,69%,71%,72%,5,7,11,18,26,39,73,93,121,122,131,135,137,139,143,64%,59%,61%,50%,47%,46%,50%,44%,42%,44%,44%,44%,44%,44%,44%,184.8,172.2,190.0,120.5,90.2,76.1,55.9,52.1,43.2,43.9,41.8,42.3,42.6,42.8,43.5
BDI,Burundi,Burundi,Central Africa,"25,680","18,954","49,218","95,565","178,587","281,659","448,881","1,510,647","1,804,627","9,235,811","11,319,317","13,075,003","14,947,796","16,760,920","18,595,976","20,389,141",458,"3,731","5,077","6,317","7,788","9,393","11,183","12,852","2,032,710","2,721,528","3,475,482","4,128,349","5,292,793","6,665,688","8,444,785","9,823,828","11,861,000","14,480,138","16,377,249","18,320,293","20,295,225","22,248,427","24,190,164",1%,2%,3%,4%,5%,7%,18%,18%,78%,78%,80%,82%,83%,84%,84%,1,1,1,2,4,5,20,23,174,117,103,79,41,21,10,100%,100%,100%,94%,84%,79%,58%,58%,21%,20%,58%,69%,79%,87%,97%,0.0,0.0,0.0,64.7,55.9,53.4,22.2,19.6,6.7,7.4,7.6,8.5,10.9,14.8,19.5
BEN,Benin,Bénin,West Africa,"112,760","89,069","239,730","369,351","806,259","1,257,137","1,981,914","3,287,193","4,708,377","7,045,147","8,344,696","9,632,931","11,164,279","12,589,596","14,063,583","15,350,793","1,004","2,200","2,663","3,169","3,782","4,424","5,099","5,728","1,572,214","2,237,000","2,709,000","3,460,215","4,689,335","6,411,378","9,033,485","10,749,468","12,123,198","13,682,496","15,334,088","17,023,158","18,754,677","20,495,933","22,188,044",6%,11%,14%,23%,27%,31%,36%,44%,58%,61%,63%,66%,67%,69%,69%,5,8,9,18,23,36,65,96,157,180,201,229,237,240,239,56%,59%,69%,62%,61%,58%,48%,45%,40%,40%,39%,38%,38%,38%,37%,44.1,55.7,46.9,44.4,37.8,28.4,20.8,16.0,12.6,12.2,11.4,10.5,10.4,10.4,10.5
BFA,Burkina Faso,Burkina Faso,West Africa,"273,600","85,196","143,242","317,069","708,492","1,395,280","2,422,327","4,080,743","5,085,493","6,632,783","8,292,800","10,093,649","12,015,257","14,086,859","16,248,146","18,452,028","1,177","1,690","2,311","3,170","4,262","5,572","7,152","8,683","3,010,000","4,178,252","5,195,182","6,597,870","8,862,969","11,415,598","16,468,714","18,450,494","20,789,000","23,618,676","26,610,009","29,671,289","32,740,572","35,763,804","38,673,181",3%,3%,6%,11%,16%,21%,25%,28%,32%,35%,38%,40%,43%,45%,48%,3,4,6,16,30,52,74,86,113,127,136,139,141,141,142,88%,79%,74%,64%,60%,56%,58%,58%,57%,56%,56%,55%,55%,56%,56%,137.5,139.4,129.9,56.6,50.5,37.6,33.7,30.3,24.6,23.0,21.9,21.7,22.1,22.3,22.3
BWA,Botswana,Botswana,Southern Africa,"566,730",-,-,"79,418","246,851","518,388","799,876","1,052,310","1,168,439","1,307,346","1,480,042","1,652,738","1,859,838","2,057,675","2,231,626","2,399,397",764,839,992,"1,158","1,393","1,650","1,909","2,164","279,880","412,183","589,967","895,081","1,277,591","1,637,692","1,995,462","2,195,134","2,284,000","2,468,796","2,640,503","2,799,019","2,945,056","3,070,261","3,174,149",0%,0%,13%,28%,41%,49%,53%,53%,57%,60%,63%,66%,70%,73%,76%,0,0,6,11,17,21,22,24,28,30,33,37,40,43,45,0%,0%,18%,21%,26%,26%,29%,29%,29%,29%,28%,28%,33%,33%,33%,0.0,0.0,79.0,90.9,58.9,52.5,61.5,56.6,59.7,57.8,53.0,48.7,54.9,51.9,57.0
CAF,Central African Republic,République centrafricaine,Central Africa,"622,980","37,614","140,335","378,203","628,286","878,147","1,211,819","1,594,232","1,782,691","2,725,354","3,190,314","3,694,560","4,228,959","4,715,119","5,190,269","5,647,583",231,330,406,502,623,743,870,998,"1,078,800","1,187,100","1,687,403","2,300,073","2,800,182","3,627,394","4,513,932","4,971,725","5,994,000","6,551,453","7,174,351","7,769,597","8,302,742","8,772,073","9,184,692",3%,12%,22%,27%,31%,33%,35%,36%,45%,49%,51%,54%,57%,59%,61%,1,5,11,15,21,27,30,30,47,54,59,65,68,71,74,100%,60%,53%,54%,51%,52%,53%,53%,51%,50%,50%,50%,50%,50%,51%,0.0,220.3,102.5,97.6,83.4,83.8,81.7,81.7,72.1,66.7,63.8,58.3,54.6,53.5,53.5
CIV,Cote d`Ivoire,Côte d’Ivoire,West Africa,"318,000","106,761","379,772","1,179,863","2,668,800","4,569,060","6,881,953","9,617,876","11,197,175","14,708,139","17,176,546","20,069,152","22,963,967","25,930,577","28,967,536","32,110,360","1,378","2,184","2,707","3,412","4,232","5,117","6,076","7,127","2,422,015","3,161,207","5,293,700","8,041,949","11,537,543","15,619,748","20,596,863","23,300,000","27,903,000","31,282,855","34,844,860","38,495,463","42,213,882","45,918,803","49,596,354",4%,12%,22%,33%,40%,44%,47%,48%,53%,55%,58%,60%,61%,63%,65%,3,8,26,51,73,113,173,206,278,308,354,381,400,412,429,60%,59%,49%,47%,46%,44%,43%,42%,40%,39%,38%,38%,37%,38%,38%,208.7,106.1,61.7,44.0,40.2,31.5,23.8,20.6,17.2,16.3,15.4,14.9,14.5,14.4,14.0
CMR,Cameroon,Cameroun,Central Africa,"472,710","299,700","465,300","1,098,900","2,176,050","3,932,882","5,809,355","10,052,556","12,513,977","15,584,811","18,436,434","21,503,901","24,778,940","28,270,074","31,891,748","35,605,664","3,181","3,821","4,635","5,657","6,907","8,270","9,782","11,564","3,700,000","4,334,795","5,905,501","8,201,089","11,475,946","15,113,429","19,734,760","22,179,707","26,133,000","29,252,372","32,478,041","35,747,341","39,084,455","42,320,613","45,466,682",8%,11%,19%,27%,34%,38%,51%,56%,60%,63%,66%,69%,72%,75%,78%,11,17,30,45,64,71,126,135,146,151,154,153,149,147,142,50%,42%,44%,45%,46%,50%,45%,52%,52%,52%,52%,52%,52%,52%,52%,80.8,62.3,53.3,50.6,45.7,42.8,28.3,27.7,26.2,25.6,25.3,25.8,26.3,26.6,27.3
COD,Democratic Republic of the Congo,République démocratique du Congo,Central Africa,"2,267,050","571,478","1,721,305","4,627,488","6,828,476","10,485,198","13,762,097","21,370,873","31,064,400","43,338,227","53,564,396","64,465,077","75,707,764","87,279,258","99,023,619","110,608,079","4,000","5,065","6,552","8,625","11,005","13,756","17,003","20,186","12,577,167","14,140,889","21,400,117","27,618,390","36,676,308","48,004,592","62,500,000","71,246,000","93,099,000","107,099,768","121,243,190","135,201,275","148,755,618","161,513,648","173,463,907",5%,12%,22%,25%,29%,29%,34%,44%,47%,50%,53%,56%,59%,61%,64%,14,36,89,106,124,138,331,491,612,648,669,673,665,659,655,45%,37%,33%,37%,41%,39%,34%,30%,30%,30%,29%,30%,30%,30%,30%,202.7,140.7,79.4,72.0,66.9,65.9,34.5,27.5,24.7,24.0,23.9,24.1,24.2,24.6,24.9
COG,Republic of the Congo,République du Congo,Central Africa,"341,500","102,400","173,500","372,940","801,521","1,306,712","1,863,885","2,711,859","3,022,315","3,882,270","4,491,579","5,170,353","5,902,037","6,666,584","7,487,267","8,286,919",525,641,779,953,"1,176","1,431","1,758","2,095","679,300","869,372","1,133,318","1,616,934","2,207,235","2,943,721","4,216,028","4,687,514","5,470,000","6,119,295","6,807,886","7,535,362","8,281,125","9,031,030","9,761,217",15%,20%,33%,50%,59%,63%,64%,64%,71%,73%,76%,78%,81%,83%,85%,2,3,4,9,14,15,22,25,29,32,36,39,41,43,43,100%,93%,89%,84%,82%,83%,82%,81%,80%,79%,78%,78%,78%,78%,78%,352.6,159.2,108.7,95.5,89.0,89.1,67.1,64.3,54.2,50.4,46.5,44.7,46.7,45.6,45.6
